"state_code","state_text"
PA,Pennsylvania
WA,Washington
UT,Utah
IL,Illinois
MA,Massachusetts
ND,North Dakota
MS,Mississippi
NC,North Carolina
WI,Wisconsin
MT,Montana
AK,Alaska
DC,District of Columbia
CT,Connecticut
ME,Maine
MI,Michigan
MN,Minnesota
LA,Louisiana
SD,South Dakota
NJ,New Jersey
NH,New Hampshire
VA,Virginia
NE,Nebraska
MO,Missouri
AR,Arkansas
KS,Kansas
NY,New York
CO,Colorado
OK,Oklahoma
TN,Tennessee
VT,Vermont
NV,Nevada
DE,Delaware
IA,Iowa
GA,Georgia
NM,New Mexico
AZ,Arizona
KY,Kentucky
SC,South Carolina
CA,California
WY,Wyoming
RI,Rhode Island
FL,Florida
ID,Idaho
TX,Texas
OR,Oregon
MD,Maryland
AL,Alabama
WV,West Virginia
OH,Ohio
IN,Indiana
HI,Hawaii
